"catalogStandard","canonicalLessonId","slug","grade","declaredStandards","domain","unit","positionWithinUnit","positionMeaning","objective","exists","registered","technicalQa","curriculumApproval","productionRelease","planningEligible","roadmapCheckmark","checkpoints","relationship","mismatches","combinedStandardCandidates","sources","sourceVersion"
"RF.1.2d","sound-stretchers","sound-stretchers","1st Grade","RF.1.2d","Foundational Skills","G1.U2","1","roadmap-standard-row-not-approved-lesson-order","I can stretch a word and say every sound in order!","true","true","unknown","unknown","unknown","false","true","g1-unit-2-exam; sound-stretchers-quiz","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/sound-stretchers.ts; docs/UNIT_ROADMAP.md:95","46f39b38e79df2cf07dd7a50cef8c766155543f528939674ad7868af8edbf8d9"
"RF.1.4b","smooth-reader","smooth-reader","1st Grade","RF.1.4b","Foundational Skills","G1.U2","2","roadmap-standard-row-not-approved-lesson-order","I can read a story out loud with a good pace and expression.","true","true","unknown","unknown","unknown","false","true","g1-final; g1-unit-2-exam; smooth-reader-quiz","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/smooth-reader.ts; docs/UNIT_ROADMAP.md:96","ae65f628a9480f4964fd46e9c15f9a346983ded1b98a44fb2925b89d343f3391"
"RF.1.4c","check-and-fix","check-and-fix","1st Grade","RF.1.4c","Foundational Skills","G1.U2","3","roadmap-standard-row-not-approved-lesson-order","I can stop, check, and fix a word that does not make sense.","true","true","unknown","unknown","unknown","false","true","check-and-fix-quiz; g1-final; g1-unit-2-exam","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/check-and-fix.ts; docs/UNIT_ROADMAP.md:97","292ede6369c323c68a98518f565c3b33512060b888ebb4bee5e94d7024703105"
"L.1.4","word-toolbox","word-toolbox","1st Grade","L.1.4","Language","G1.U1","8","roadmap-standard-row-not-approved-lesson-order","I can use tools to figure out what a tricky word means.","true","true","unknown","unknown","unknown","false","true","g1-unit-1-exam; word-toolbox-quiz","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/word-toolbox.ts; docs/UNIT_ROADMAP.md:87","5a651ae5bc54b872605fb96ead17b729bca7fc78586ca0a40bf011be0a424b67"
"L.1.4a","sentence-clues","sentence-clues","1st Grade","L.1.4a","Language","G1.U1","9","roadmap-standard-row-not-approved-lesson-order","I can use the other words in a sentence to figure out what a tricky word means.","true","true","unknown","unknown","unknown","false","true","g1-final; g1-unit-1-exam; sentence-clues-quiz","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/sentence-clues.ts; docs/UNIT_ROADMAP.md:88","96b943a2d6c4153678b23911e021ff52fd5a8ccfec7cf6f293dacf0f28359fcd"
"L.1.4b","prefix-power","prefix-power","1st Grade","L.1.4b","Language","G1.U1","10","roadmap-standard-row-not-approved-lesson-order","I can use word parts like un-, re-, and -ful to help me understand new words.","true","true","unknown","unknown","unknown","false","true","g1-final; g1-unit-1-exam; prefix-power-quiz","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/prefix-power.ts; docs/UNIT_ROADMAP.md:89","db67925043ee10d64b5fbd9927ba03c28532f52c8bd4b7aaf8a6e34f43d4d9eb"
"L.1.4c","word-changers","word-changers","1st Grade","L.1.4c","Language","G1.U2","8","roadmap-standard-row-not-approved-lesson-order","I can find the root word and use endings like s, ed, and ing.","true","true","unknown","unknown","unknown","false","true","g1-unit-2-exam; word-changers-quiz","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/word-changers.ts; docs/UNIT_ROADMAP.md:102","3b4d871fbd174caa05079aef51296dfbf640ddd1ff253af0f9181c0f1df05f1c"
"L.1.5","just-right-words","just-right-words","1st Grade","L.1.5","Language","G1.U2","9","roadmap-standard-row-not-approved-lesson-order","I can pick the word that fits just right.","true","true","unknown","unknown","unknown","false","true","g1-unit-2-exam; just-right-words-quiz","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/just-right-words.ts; docs/UNIT_ROADMAP.md:103","ae8a98b093e9f31057de1f99532b2412fdc6c03b6252e7734235ce57ce2bde55"
"L.1.5a","category-captain","category-captain","1st Grade","L.1.5a","Language","G1.U2","10","roadmap-standard-row-not-approved-lesson-order","I can sort words into categories and tell why they belong.","true","true","unknown","unknown","unknown","false","true","category-captain-quiz; g1-unit-2-exam","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/category-captain.ts; docs/UNIT_ROADMAP.md:104","c66f5371d5baffe4fd6bebbc0c365bfc855a522b55846cca67a974fa8376849e"
"L.1.5b","what-is-it","what-is-it","1st Grade","L.1.5b","Language","G1.U3","8","roadmap-standard-row-not-approved-lesson-order","I can tell what a word means by naming its group and one special thing.","true","true","unknown","unknown","unknown","false","true","g1-unit-3-exam; what-is-it-quiz","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/what-is-it.ts; docs/UNIT_ROADMAP.md:117","9d39121bdab04c151706504d2c603d45d5a11050e7d297d8187aae8dbca0a6d9"
"L.1.5c","words-in-real-life","words-in-real-life","1st Grade","L.1.5c","Language","G1.U3","9","roadmap-standard-row-not-approved-lesson-order","I can connect words to real things, places, and moments in my world.","true","true","unknown","unknown","unknown","false","true","g1-unit-3-exam; words-in-real-life-quiz","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/words-in-real-life.ts; docs/UNIT_ROADMAP.md:118","92acc9d335a680393a3495ae682cb14700d2c76fa105e69a275f5706fd656df7"
"L.1.5d","strong-words","strong-words","1st Grade","L.1.5d","Language","G1.U3","10","roadmap-standard-row-not-approved-lesson-order","I can pick the verb that matches how it happened.","true","true","unknown","unknown","unknown","false","true","g1-unit-3-exam; strong-words-quiz","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/strong-words.ts; docs/UNIT_ROADMAP.md:119","81b25c091fa268df4adcc2382c0b98f3b1f4728b60bc6c40f4f3618a089d9ea6"
"L.1.6","words-we-use","words-we-use","1st Grade","L.1.6","Language","G1.U4","8","roadmap-standard-row-not-approved-lesson-order","You will use joining words like because, and, but, and so to connect your ideas.","true","true","unknown","unknown","unknown","false","true","g1-unit-4-exam; words-we-use-quiz","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/words-we-use.ts; docs/UNIT_ROADMAP.md:132","d70b66f20a7abe02cc2471fff828eab10a4b81de31f4826ba556139d2bbf2d97"
"RL.2.1","ask-and-answer-g2","ask-and-answer-g2","2nd Grade","RL.2.1","Literature","G2.U1","4","roadmap-standard-row-not-approved-lesson-order","I can ask and answer who, what, where, when, why, and how questions and prove each answer with the story's words.","true","true","unknown","unknown","unknown","false","true","ask-and-answer-g2-quiz; g2-unit-1-exam","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/ask-and-answer-g2.ts; docs/UNIT_ROADMAP.md:155","28b85aa794b67878c6768e5cf06b7a040cf9000a3b981422afc4b7b3aa650ca4"
"RL.2.2","fable-tellers","fable-tellers","2nd Grade","RL.2.2","Literature","G2.U1","5","roadmap-standard-row-not-approved-lesson-order","I can read a whole fable, retell it in order, and find the moral it teaches.","true","true","unknown","unknown","unknown","false","true","fable-tellers-quiz; g2-final; g2-unit-1-exam","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/fable-tellers.ts; docs/UNIT_ROADMAP.md:156","584177c0308fa24f8e2089da54284ee17da86ad253c55c3a972bdf7eefa57692"
"RL.2.3","character-challenges","character-challenges","2nd Grade","RL.2.3","Literature","G2.U1","6","roadmap-standard-row-not-approved-lesson-order","I can describe how a character responds to major events and challenges in a story.","true","true","unknown","unknown","unknown","false","true","character-challenges-quiz; g2-unit-1-exam","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/character-challenges.ts; docs/UNIT_ROADMAP.md:157","65f6a9b47c046fe66b0365f8030d9d5e63c634dc7ac1ca273d6a46b0db2fe3be"
"RL.2.4","word-music","word-music","2nd Grade","RL.2.4","Literature","G2.U2","4","roadmap-standard-row-not-approved-lesson-order","I can describe how words and phrases give a poem rhythm and meaning.","true","true","unknown","unknown","unknown","false","true","g2-unit-2-exam; word-music-quiz","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/word-music.ts; docs/UNIT_ROADMAP.md:173","5915cb8ebacd754107466a5e6291f45c23b58a9903dad4852753e3cb68b5d730"
"RL.2.5","story-shape","story-shape","2nd Grade","RL.2.5","Literature","G2.U2","5","roadmap-standard-row-not-approved-lesson-order","I can describe how a story's beginning introduces it and its ending concludes the action.","true","true","unknown","unknown","unknown","false","true","g2-final; g2-unit-2-exam; story-shape-quiz","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/story-shape.ts; docs/UNIT_ROADMAP.md:174","2e50e9285995972fb747a3e8b945c6a8e4d1a1bd67532ac3cc9aab22a0264f66"
"RL.2.6","two-ways-to-see","two-ways-to-see","2nd Grade","RL.2.6","Literature","G2.U2","6","roadmap-standard-row-not-approved-lesson-order","I can notice when two characters feel differently about the same thing and tell who feels what.","true","true","unknown","unknown","unknown","false","true","g2-unit-2-exam; two-ways-to-see-quiz","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/two-ways-to-see.ts; docs/UNIT_ROADMAP.md:175","61f351540db0230141a914902fa6897b7926c20a693f7391e1ac9fb346bcb2f1"
"RL.2.7","pictures-tell-more","pictures-tell-more","2nd Grade","RL.2.7","Literature","G2.U3","4","roadmap-standard-row-not-approved-lesson-order","I can use the words and the pictures together to understand a story.","true","true","unknown","unknown","unknown","false","true","g2-unit-3-exam; pictures-tell-more-quiz","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/pictures-tell-more.ts; docs/UNIT_ROADMAP.md:191","4a8c88a0f874ca5af188311256e6177419c42b657c349f35e461ad0a750a6377"
"RL.2.9","one-story-two-ways","one-story-two-ways","2nd Grade","RL.2.9","Literature","G2.U3","5","roadmap-standard-row-not-approved-lesson-order","I can compare two versions of the same story and tell what stays the same and what changes.","true","true","unknown","unknown","unknown","false","true","g2-final; g2-unit-3-exam; one-story-two-ways-quiz","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/one-story-two-ways.ts; docs/UNIT_ROADMAP.md:192","350aa93294092f9c9a1a2dfb9a8aed71d0cd0044d4511aa27e6e73121533359b"
"RL.2.10","the-whole-story","the-whole-story","2nd Grade","RL.2.10","Literature","G2.U3","6","roadmap-standard-row-not-approved-lesson-order","I can read a longer story and understand it using all my reading tools.","true","true","unknown","unknown","unknown","false","true","g2-final; g2-unit-3-exam; the-whole-story-quiz","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/the-whole-story.ts; docs/UNIT_ROADMAP.md:193","f39b988396da5c02d9ff3da805eecce4794acf45c55d50829c242a3c177f6975"
"RI.2.1","fact-finders-ask","fact-finders-ask","2nd Grade","RI.2.1","Informational","G2.U1","7","roadmap-standard-row-not-approved-lesson-order","I can ask and answer who, what, where, when, why, and how questions about a fact book and prove each answer with the book's exact words.","true","true","unknown","unknown","unknown","false","true","fact-finders-ask-quiz; g2-unit-1-exam","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/fact-finders-ask.ts; docs/UNIT_ROADMAP.md:158","c4798d48e9fc86c90c98e0fa1a58f460739ca5693287dab8969de075b3478639"
"RI.2.2","paragraph-power","paragraph-power","2nd Grade","RI.2.2","Informational","G2.U1","8","roadmap-standard-row-not-approved-lesson-order","I can find the main topic of a whole text and the job of each of its paragraphs.","true","true","unknown","unknown","unknown","false","true","g2-final; g2-unit-1-exam; paragraph-power-quiz","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/paragraph-power.ts; docs/UNIT_ROADMAP.md:159","36ca32f197ea6f646a54ab80ba5fb193900fab08ae4fdb9045600199eae33808"
"RI.2.3","chains-and-steps","chains-and-steps","2nd Grade","RI.2.3","Informational","G2.U1","9","roadmap-standard-row-not-approved-lesson-order","I can explain how the steps in a true text connect, and why their order matters.","true","true","unknown","unknown","unknown","false","true","chains-and-steps-quiz; g2-unit-1-exam","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/chains-and-steps.ts; docs/UNIT_ROADMAP.md:160","74537e3e3e9984ff565a1f9c89948ff62e80ff991a7108f8120524b580c1149c"
"RI.2.4","science-word-clues","science-word-clues","2nd Grade","RI.2.4","Informational","G2.U2","7","roadmap-standard-row-not-approved-lesson-order","I can use the author's help right in the text to figure out what a topic word means.","true","true","unknown","unknown","unknown","false","true","g2-unit-2-exam; science-word-clues-quiz","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/science-word-clues.ts; docs/UNIT_ROADMAP.md:176","586a679be997e22d0adf0d04322bc33965b548f5f09255e977fd89ba052bcae8"
"RI.2.5","find-it-fast","find-it-fast","2nd Grade","RI.2.5","Informational","G2.U2","8","roadmap-standard-row-not-approved-lesson-order","I can use a fact book's tools to find the facts I need fast.","true","true","unknown","unknown","unknown","false","true","find-it-fast-quiz; g2-unit-2-exam","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/find-it-fast.ts; docs/UNIT_ROADMAP.md:177","9d2765eba67edda6578290065fa3f4effad21bb3931fb5bae30dab261d21a20d"
"RI.2.6","why-authors-write","why-authors-write","2nd Grade","RI.2.6","Informational","G2.U2","9","roadmap-standard-row-not-approved-lesson-order","I can figure out why an author wrote a text.","true","true","unknown","unknown","unknown","false","true","g2-final; g2-unit-2-exam; why-authors-write-quiz","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/why-authors-write.ts; docs/UNIT_ROADMAP.md:178","664c23a74f3d3465f20fdb1255039aebbaa53f74c59f25468f2afc80a955d891"
"RI.2.7","pictures-that-teach","pictures-that-teach","2nd Grade","RI.2.7","Informational","G2.U3","7","roadmap-standard-row-not-approved-lesson-order","I can explain how a picture helps me understand the words in an information book.","true","true","unknown","unknown","unknown","false","true","g2-unit-3-exam; pictures-that-teach-quiz","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/pictures-that-teach.ts; docs/UNIT_ROADMAP.md:194","865dcfe2df7c021abc7dc7044ef44bf3d68b4922bb0e2e6da0f81691bfecd1e2"
"RI.2.8","hold-it-up","hold-it-up","2nd Grade","RI.2.8","Informational","G2.U3","8","roadmap-standard-row-not-approved-lesson-order","I can describe how an author's reasons hold up the author's point.","true","true","unknown","unknown","unknown","false","true","g2-final; g2-unit-3-exam; hold-it-up-quiz","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/hold-it-up.ts; docs/UNIT_ROADMAP.md:195","90a3921be1c1d865e734d7afea933b67d135bdec0db3f332989cc9d0fdcb4541"
"RI.2.9","book-team-up","book-team-up","2nd Grade","RI.2.9","Informational","G2.U3","9","roadmap-standard-row-not-approved-lesson-order","I can compare the most important points of two books about the same topic.","true","true","unknown","unknown","unknown","false","true","book-team-up-quiz; g2-unit-3-exam","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/book-team-up.ts; docs/UNIT_ROADMAP.md:196","30bfde22aff61dcdbc7c1610e3e5ebb9efd310dc562125c5814a368052ff037a"
"RI.2.10","read-to-learn","read-to-learn","2nd Grade","RI.2.10","Informational","G2.U4","3","roadmap-standard-row-not-approved-lesson-order","I can read a real fact book and understand it using all my fact-reading tools.","true","true","unknown","unknown","unknown","false","false","g2-final; g2-unit-4-exam; read-to-learn-quiz","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/read-to-learn.ts; docs/UNIT_ROADMAP.md:208","f933868e56b38d1e54335f64eb4818fdba82acf6a8fb4127e527f7692abe9cf2"
"RF.2.3","decoding-champions","decoding-champions","2nd Grade","RF.2.3","Foundational Skills","G2.U1","1","roadmap-standard-row-not-approved-lesson-order","I can pick the right phonics tool and use it to decode long words.","true","true","unknown","unknown","unknown","false","true","decoding-champions-quiz; g2-unit-1-exam","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/decoding-champions.ts; docs/UNIT_ROADMAP.md:152","aa45b5051f5d6778a2eecbd83e036c8f80b9b9b9fe8a343182672426fb936175"
"RF.2.3a","long-or-short","long-or-short","2nd Grade","RF.2.3a","Foundational Skills","G2.U1","2","roadmap-standard-row-not-approved-lesson-order","I can hear and see whether a vowel is long or short and read look-alike words correctly.","true","true","unknown","unknown","unknown","false","true","g2-final; g2-unit-1-exam; long-or-short-quiz","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/long-or-short.ts; docs/UNIT_ROADMAP.md:153","c50ea12b9e1a5ff94b571da9ff13cf86b284e5a2ccebca74d7d46472d434d580"
"RF.2.3b","team-players","team-players","2nd Grade","RF.2.3b","Foundational Skills","G2.U1","3","roadmap-standard-row-not-approved-lesson-order","I can read words with the vowel teams oo, ow, oi, oy, and aw, even when a team makes two different sounds.","true","true","unknown","unknown","unknown","false","true","g2-final; g2-unit-1-exam; team-players-quiz","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/team-players.ts; docs/UNIT_ROADMAP.md:154","8cac40fed08711d27b4b68e368e6cecd555d637a216fd30002363a10c20d155f"
"RF.2.3c","long-vowel-builders","long-vowel-builders","2nd Grade","RF.2.3c","Foundational Skills","G2.U2","1","roadmap-standard-row-not-approved-lesson-order","I can split a two-syllable word, spot its long vowel patterns, and read it.","true","true","unknown","unknown","unknown","false","true","g2-unit-2-exam; long-vowel-builders-quiz","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/long-vowel-builders.ts; docs/UNIT_ROADMAP.md:170","bf05a778bdf80dc1ebe5cc8fa5c797be7183331a13edbb78c2e6c8896743a39d"
"RF.2.3d","prefix-suffix-decoders","prefix-suffix-decoders","2nd Grade","RF.2.3d","Foundational Skills","G2.U2","2","roadmap-standard-row-not-approved-lesson-order","I can decode words with prefixes and suffixes: spot the part, read the base, and snap them together.","true","true","unknown","unknown","unknown","false","true","g2-final; g2-unit-2-exam; prefix-suffix-decoders-quiz","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/prefix-suffix-decoders.ts; docs/UNIT_ROADMAP.md:171","13c1cdb7c061db58a4cdd5e436851d7c5f0cf5e75178e7579833467802878671"
"RF.2.3e","tricky-sound-switchers","tricky-sound-switchers","2nd Grade","RF.2.3e","Foundational Skills","G2.U2","3","roadmap-standard-row-not-approved-lesson-order","I can read tricky letter teams by trying one sound, and flipping to the other sound if the word sounds wrong.","true","true","unknown","unknown","unknown","false","true","g2-unit-2-exam; tricky-sound-switchers-quiz","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/tricky-sound-switchers.ts; docs/UNIT_ROADMAP.md:172","0a75fde300fc95947f5eac61f2435e62cf49542be7de07c025d9a6c20040cc5b"
"RF.2.3f","heart-words","heart-words","2nd Grade","RF.2.3f","Foundational Skills","G2.U3","1","roadmap-standard-row-not-approved-lesson-order","I can read heart words by sounding out the fair parts and knowing the tricky part by heart.","true","true","unknown","unknown","unknown","false","true","g2-final; g2-unit-3-exam; heart-words-quiz","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/heart-words.ts; docs/UNIT_ROADMAP.md:188","e4034508f76fbd2910a5927db055b4eae8fdb8527d79e6030b822e292b2daec4"
"RF.2.4","read-like-you-talk","read-like-you-talk","2nd Grade","RF.2.4","Foundational Skills","G2.U3","2","roadmap-standard-row-not-approved-lesson-order","I can read smoothly, fix my mistakes, and let the end marks tell my voice what to do.","true","true","unknown","unknown","unknown","false","true","g2-final; g2-unit-3-exam; read-like-you-talk-quiz","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/read-like-you-talk.ts; docs/UNIT_ROADMAP.md:189","ea5f6588aa4a7db36606a8b1d9871674098fd5f3f42b976abe10705f98139642"
"RF.2.4a","read-with-your-brain","read-with-your-brain","2nd Grade","RF.2.4a","Foundational Skills","G2.U3","3","roadmap-standard-row-not-approved-lesson-order","I can pick a purpose before I read and check that every line makes sense.","true","true","unknown","unknown","unknown","false","true","g2-unit-3-exam; read-with-your-brain-quiz","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/read-with-your-brain.ts; docs/UNIT_ROADMAP.md:190","3b2af8a36c1b22ec5c1202053b986fbd466722d7bc20c45cea6fca03fa9272af"
"RF.2.4b","read-it-out-loud","read-it-out-loud","2nd Grade","RF.2.4b","Foundational Skills","G2.U4","1","roadmap-standard-row-not-approved-lesson-order","I can read out loud with every word right, a just-right speed, and a voice that shows the feeling.","true","true","unknown","unknown","unknown","false","true","g2-final; g2-unit-4-exam; read-it-out-loud-quiz","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/read-it-out-loud.ts; docs/UNIT_ROADMAP.md:206","e591e3a66ef02d88bc316f995d28bc6ecaf516f2f730c99103fab15d022bc362"
"RF.2.4c","click-and-clunk","click-and-clunk","2nd Grade","RF.2.4c","Foundational Skills","G2.U4","2","roadmap-standard-row-not-approved-lesson-order","I can catch a word that clunks, reread to fix it, and check that it clicks.","true","true","unknown","unknown","unknown","false","false","click-and-clunk-quiz; g2-final; g2-unit-4-exam","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/click-and-clunk.ts; docs/UNIT_ROADMAP.md:207","df7e4dd3b9b8b5cded4cdbcf4bfbedb058ef22c51db4dab3bea4f6e33e2eb1d7"
"L.2.4","word-solvers","word-solvers","2nd Grade","L.2.4","Language","G2.U1","10","roadmap-standard-row-not-approved-lesson-order","I can solve unknown words with context clues and test both meanings of double-duty words.","true","true","unknown","unknown","unknown","false","true","g2-unit-1-exam; word-solvers-quiz","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/word-solvers.ts; docs/UNIT_ROADMAP.md:161","f3c68131f6a2679ad4699665b1ebf88eb66256b429e44559b4986d94a672cdbb"
"L.2.4a","clue-hunters","clue-hunters","2nd Grade","L.2.4a","Language","G2.U1","11","roadmap-standard-row-not-approved-lesson-order","I can use sentence clues to figure out a new word, and name the kind of clue.","true","true","unknown","unknown","unknown","false","true","clue-hunters-quiz; g2-final; g2-unit-1-exam","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/clue-hunters.ts; docs/UNIT_ROADMAP.md:162","9fa3d2461e3be802f57fd63b1f9cddf742bddbbff4b134f6f32d045ba29c3277"
"L.2.4b","word-math","word-math","2nd Grade","L.2.4b","Language","G2.U1","12","roadmap-standard-row-not-approved-lesson-order","I can figure out a new word by adding the prefix meaning to a word I know.","true","true","unknown","unknown","unknown","false","true","g2-unit-1-exam; g2-unit-2-exam; word-math-quiz","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/word-math.ts; docs/UNIT_ROADMAP.md:163","9e77eb1e8ea7bb47e4092c4351028e10700bfb8625005b51e880fff3c5f7db67"
"L.2.4c","root-clues","root-clues","2nd Grade","L.2.4c","Language","G2.U1","13","roadmap-standard-row-not-approved-lesson-order","I can use a small root word I know as a clue to a big word's meaning.","true","true","unknown","unknown","unknown","false","true","g2-unit-1-exam; root-clues-quiz","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/root-clues.ts; docs/UNIT_ROADMAP.md:164","a074a4a3b5c08ab0521c144d0ad58d3207d0f55344e9555912a034058a134138"
"L.2.4d","word-plus-word","word-plus-word","2nd Grade","L.2.4d","Language","G2.U2","10","roadmap-standard-row-not-approved-lesson-order","I can predict what a compound word means by adding the meanings of its two smaller words.","true","true","unknown","unknown","unknown","false","true","g2-unit-2-exam; word-plus-word-quiz","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/word-plus-word.ts; docs/UNIT_ROADMAP.md:179","3404aa3a663f40b72b1513320186174886f873aaa2f7550536c02c7b9bdbbccd"
"L.2.4e","look-it-up","look-it-up","2nd Grade","L.2.4e","Language","G2.U2","11","roadmap-standard-row-not-approved-lesson-order","I can use a dictionary or glossary to find what a word means.","true","true","unknown","unknown","unknown","false","true","g2-unit-2-exam; look-it-up-quiz","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/look-it-up.ts; docs/UNIT_ROADMAP.md:180","9ea34f46e1cadb54504e37433cd6f717f00b7632fabd85de04253a8aeca824ad"
"L.2.5","same-and-opposite","same-and-opposite","2nd Grade","L.2.5","Language","G2.U2","12","roadmap-standard-row-not-approved-lesson-order","I can tell when two words mean almost the same and when they are opposites.","true","true","unknown","unknown","unknown","false","true","g2-unit-2-exam; same-and-opposite-quiz","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/same-and-opposite.ts; docs/UNIT_ROADMAP.md:181","2a9dd00b9bd6908f16ddd2d4b4c7b19646dd6c0f7695d74c3060de290dd1bc23"
"L.2.5a","words-in-your-world","words-in-your-world","2nd Grade","L.2.5a","Language","G2.U2","13","roadmap-standard-row-not-approved-lesson-order","I can connect words to the real things they fit and the places where I would use them.","true","true","unknown","unknown","unknown","false","true","g2-unit-2-exam; words-in-your-world-quiz","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/words-in-your-world.ts; docs/UNIT_ROADMAP.md:182","a3d349b4dfd0a9111d23720916b4e371ebc802a60c87f1291b6a474d90d9bea4"
"L.2.5b","word-ladders","word-ladders","2nd Grade","L.2.5b","Language","G2.U3","10","roadmap-standard-row-not-approved-lesson-order","I can tell how family words climb from weakest to strongest and pick the one that fits.","true","true","unknown","unknown","unknown","false","true","g2-final; g2-unit-3-exam; word-ladders-quiz","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/word-ladders.ts; docs/UNIT_ROADMAP.md:197","987dfbdde0484ef62a062c902f09817dbd6e40c81c4eb3033879e5d98b31aac2"
"L.2.6","describe-it-better","describe-it-better","2nd Grade","L.2.6","Language","G2.U3","11","roadmap-standard-row-not-approved-lesson-order","I can use describing words, thing helpers and action helpers, to make flat sentences come alive.","true","true","unknown","unknown","unknown","false","true","describe-it-better-quiz; g2-unit-3-exam","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/describe-it-better.ts; docs/UNIT_ROADMAP.md:198","eaccbc4ee6f20972f746b43edb0de778adba1802e4d5ce16177538ddaa0e91fe"
"RL.3.1","show-me-where","show-me-where","3rd Grade","RL.3.1","Literature","G3.U1","4","roadmap-standard-row-not-approved-lesson-order","I can answer a question about a story and point to the exact line that proves it.","true","true","unknown","unknown","unknown","false","false","g3-unit-1-exam; show-me-where-quiz","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/show-me-where.ts; docs/UNIT_ROADMAP.md:220","c0ac8d4c944704551dec212504ff81d897dc89827deeed4ec1d28b61fb2de60a"
"RL.3.2","follow-the-message","follow-the-message","3rd Grade","RL.3.2","Literature","G3.U1","5","roadmap-standard-row-not-approved-lesson-order","I can recount a tale in order, name the message it teaches, and explain how the details show that message.","true","true","unknown","unknown","unknown","false","false","follow-the-message-quiz; g3-final; g3-unit-1-exam","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/follow-the-message.ts; docs/UNIT_ROADMAP.md:221","8e15c71ffd002d8cdbe2e9f555cb57ce36e28b416808d45440389897b69f70b5"
"RL.3.3","why-they-did-it","why-they-did-it","3rd Grade","RL.3.3","Literature","G3.U1","6","roadmap-standard-row-not-approved-lesson-order","I can describe a character by her trait, her want, and her feeling, and explain how her action caused what happened next.","true","true","unknown","unknown","unknown","false","false","g3-final; g3-unit-1-exam; why-they-did-it-quiz","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/why-they-did-it.ts; docs/UNIT_ROADMAP.md:222","e345ddf34ea23b8583f46c9934b03b2627ba6bee80634895244898da9232f5ae"
