standard_id,question_number,passage_text,question_prompt,choice_1,choice_2,choice_3,choice_4,correct_answer,hint,difficulty,QA_Status,QA_Notes,Suggested_Rewrite
RF.K.2e,1,,"🔄 Start with ""cat."" Change the /c/ to /b/. What new word do you get?",Sat,Bat,Mat,Hat,Bat,Take away the 'c' sound and put in a 'b' sound: b-at!,1,,,
RF.K.2e,2,,"🔄 Start with ""hop."" Change the /h/ to /t/. What word do you get?",Mop,Top,Pop,Cop,Top,Replace the /h/ with /t/: t-op!,1,,,
RF.K.2e,3,,"🔄 Start with ""man."" Change the /a/ to /e/. What word do you get?",Min,Men,Mon,Mun,Men,Keep the 'm' and 'n' but change the middle sound to /e/!,2,,,
RF.K.2e,4,,"🔄 Start with ""sit."" Change the /t/ to /p/. What word do you get?",Sip,Sat,Set,Sap,Sip,Keep 'si-' and change the ending to /p/!,2,,,
RF.K.2e,5,,"➕ Add /s/ to the beginning of ""top."" What word do you get?",Stop,Tops,Spot,Step,Stop,Put /s/ right before 'top': s-top!,2,,,
RF.K.3a,1,,🔤 What sound does the letter 'B' make?,/d/,/b/,/p/,/g/,/b/,"Think of words that start with B: ball, bat, bear. They all start with /b/!",1,,,
RF.K.3a,2,,🔤 What sound does the letter 'S' make?,/s/,/z/,/f/,/t/,/s/,"Think: snake, sun, sit — they all start with the /s/ sound!",1,,,
RF.K.3a,3,,🔤 Which letter makes the /m/ sound?,N,M,W,B,M,Mmm... like 'mom' and 'milk'!,1,,,
RF.K.3a,4,,🔤 Which word STARTS with the same sound as the letter 'T'?,Dog,Fish,Top,Run,Top,The letter T makes the /t/ sound. Which word starts with /t/?,1,,,
RF.K.3a,5,,🔤 What sound does the letter 'R' make?,/l/,/r/,/w/,/n/,/r/,"Think of 'run,' 'red,' and 'rain' — they all start with /r/!",1,,,
RF.K.3b,1,"🔊 The word ""cake"" has a LONG 'a' sound. The word ""cat"" has a SHORT 'a' sound.",Which word has a LONG 'a' sound?,Hat,Bat,Lake,Ran,Lake,Long 'a' says its own name — like in 'lake' and 'cake'!,2,,,
RF.K.3b,2,,"🔊 Which word has a SHORT 'i' sound (like in ""pig"")?",Bike,Sit,Kite,Nine,Sit,"Short 'i' sounds like the 'i' in pig, sit, and big!",1,,,
RF.K.3b,3,,"🔊 The word ""note"" has a LONG 'o' sound. Which other word has a LONG 'o' sound?",Hot,Bone,Dog,Mop,Bone,Long 'o' says its name — like 'bone' and 'note'!,2,,,
RF.K.3b,4,,"🔊 Which word has a SHORT 'e' sound (like in ""bed"")?",Bee,Tree,Red,Me,Red,"Short 'e' sounds like the 'e' in bed, red, and pet!",1,,,
RF.K.3b,5,,"🔊 Which word has a SHORT 'u' sound (like in ""bus"")?",Cute,Cup,Mule,Tune,Cup,"Short 'u' sounds like the 'u' in bus, cup, and sun!",1,,,
RF.K.3c,1,,"👀 Which word is ""the""?",teh,the,hte,eth,the,Look carefully at the order of the letters: t-h-e!,1,,,
RF.K.3c,2,,"📖 Fill in the blank: ""I can ___ it!""",doo,do,od,doe,do,This common word is spelled: d-o!,1,,,
RF.K.3c,3,,"📝 Which sentence uses the word ""is"" correctly?",He is happy.,He si happy.,He iz happy.,He es happy.,He is happy.,The word 'is' is spelled: i-s!,1,,,
RF.K.3c,4,"👁️ Read this sight word: ""you""",Which sentence uses it?,I see you!,I see yoo!,I see yew!,I see yu!,I see you!,The word 'you' is spelled: y-o-u!,1,,,
RF.K.3c,5,"📖 Read: ""She ___ my friend.""",Which sight word fits?,am,are,is,it,is,We say 'She is' — not 'She am' or 'She are.',2,,,
RF.K.3d,1,🔍 Look at these words: CAT and BAT.,Which letter is DIFFERENT?,The last letter,The middle letter,The first letter,No letters are different,The first letter,C-A-T and B-A-T — which letter changed?,1,,,
RF.K.3d,2,,🔍 PAN and PEN are different because...,The first letter is different,The middle letter is different,The last letter is different,They are the same word,The middle letter is different,P-A-N vs P-E-N — the 'A' changed to 'E'!,2,,,
RF.K.3d,3,,🔍 BIG and BIG — Are these the same or different?,Same,Different,,,Same,Look at every letter: B-I-G and B-I-G. Any differences?,1,,,
RF.K.3d,4,,🔍 MAP and MOP — what letter changed?,M,A changed to O,P,Nothing changed,A changed to O,M-A-P vs M-O-P — the middle vowel is different!,2,,,
RF.K.3d,5,,"🔍 If you change the 'D' in ""dog"" to 'L', what new word do you get?",Fog,Log,Hog,Bog,Log,D-O-G → L-O-G!,1,,,
RF.K.4,1,"📖 Read: ""I see a cat. The cat is big. The cat is on the mat.""",Where is the cat?,On the bed,On the mat,In a tree,Under the table,On the mat,Read the last sentence — where is the cat sitting?,1,,,
RF.K.4,2,"📖 Read: ""I like dogs. I like cats. I like fish. I like all pets!""",What is this story about?,Food,Toys,Pets,School,Pets,"Dogs, cats, and fish are all types of...",1,,,
RF.K.4,3,"📖 Read: ""I can run. I can hop. I can skip. I can do a lot!""",What CAN'T this person do according to the story?,Run,Hop,Fly,Skip,Fly,"The story mentions run, hop, and skip — but NOT fly!",2,,,
RF.K.4,4,"📖 Read: ""The sun is up. It is day. We can play!""",What time of day is it?,Nighttime,Daytime,Bedtime,Dinnertime,Daytime,The sun is up and the story says 'It is day.',1,,,
RF.K.4,5,"📖 Read: ""Mom said, 'Get your coat.' Dad said, 'Get your hat.' It is cold outside!""",WHY did Mom and Dad tell the child to get a coat and hat?,It's hot outside.,It's cold outside.,It's time for school.,It's bedtime.,It's cold outside.,The last sentence tells you why!,1,,,
K.L.1,1,,"📝 A NOUN is a person, place, or thing. Which word is a noun?",Run,Dog,Happy,Quickly,Dog,Can you touch it or point to it? That's a noun!,1,,,
K.L.1,2,,🏃 A VERB is an action word. Which word is a verb?,Cat,Jump,Red,Big,Jump,Which word is something you can DO?,1,,,
K.L.1,3,,"📝 What is the PLURAL (more than one) of ""cat""?",Cat,Cats,Cates,Catties,Cats,"To make most words plural, just add an 's' at the end!",1,,,
K.L.1,4,,❓ Which word do you use to ask about a PLACE?,Who,What,Where,When,Where,"""_____ is the park?"" — you're asking about a place!",2,,,
K.L.1,5,,"📦 ""The ball is ___ the box."" Which word means inside the box?",On,Under,In,Behind,In,"If the ball is INSIDE the box, we say it's 'in' the box!",1,,,
K.L.2,1,,🔤 Which sentence has CORRECT capitalization?,i like pizza.,I like pizza.,i Like Pizza.,I LIKE PIZZA.,I like pizza.,The first word of a sentence starts with a CAPITAL letter!,1,,,
K.L.2,2,,"❗ What goes at the END of a telling sentence like ""I see a dog""?",A question mark (?),A period (.),An exclamation mark (!),Nothing,A period (.),A telling sentence (statement) ends with a period!,1,,,
K.L.2,3,,❓ What goes at the END of a question?,A period (.),A question mark (?),"A comma (,)",Nothing,A question mark (?),Questions ask something — they end with this curvy mark!,1,,,
K.L.2,4,,📝 Which name is written CORRECTLY?,sam,Sam,sAm,saM,Sam,People's names ALWAYS start with a capital letter!,1,,,
K.L.2,5,,✏️ Which sentence is CORRECT?,the dog is big,The dog is big.,the Dog is big.,The dog is big,The dog is big.,A correct sentence needs: capital letter at the start AND a period at the end!,2,,,
K.L.4,1,"📖 Read: ""The boy JUMPED. He went up in the air.""","The '-ed' at the end of ""jumped"" tells us...",It's happening right now.,It already happened.,It will happen later.,It never happened.,It already happened.,The ending '-ed' means something already happened — in the past!,2,,,
K.L.4,2,"📖 Read: ""The UNHAPPY girl frowned.""",What does 'UN-' at the beginning of 'unhappy' mean?,Very,Not,More,Always,Not,Un- means 'not.' So unhappy means NOT happy!,2,,,
K.L.4,3,,"📖 ""She has two dogs."" The '-s' on ""dogs"" means...",One dog,More than one dog,A big dog,A small dog,More than one dog,Adding '-s' usually means there is more than one!,1,,,
K.L.4,4,"📖 ""He was HELPFUL at school.""",The '-ful' in 'helpful' means...,Without help,Full of help,Never helping,A little help,Full of help,-ful means 'full of.' So helpful means full of help!,2,,,
K.L.4,5,"📖 ""The CARELESS boy spilled his milk.""",The '-less' in 'careless' means...,Full of care,Without care,More care,Lots of care,Without care,-less means 'without.' Careless = without care (not being careful)!,2,,,
K.L.5,1,,"🍎🥕 Apple, banana, and orange all belong to which CATEGORY?",Vegetables,Animals,Fruits,Colors,Fruits,These are all things you eat that grow on trees or bushes — they're all types of...,1,,,
K.L.5,2,,"↔️ What is the OPPOSITE of ""hot""?",Warm,Cold,Wet,Big,Cold,"Opposites are as different as can be. If something isn't hot, it's...",1,,,
K.L.5,3,,"🚶‍♂️ Which word means to walk in a PROUD, fancy way?",Crawl,Strut,Tiptoe,Stumble,Strut,Think of a peacock walking proudly — that's strutting!,2,,,
K.L.5,4,,"🐕🐱🐟 Dog, cat, and fish all belong to which CATEGORY?",Foods,Animals,Toys,Colors,Animals,They are all living creatures — what group do they belong to?,1,,,
K.L.5,5,😊😁🤣 Put these in order from LEAST happy to MOST happy:,"smile, laugh, giggle","Laugh, giggle, smile","Smile, giggle, laugh","Giggle, smile, laugh","Laugh, smile, giggle","Smile, giggle, laugh","A smile is quiet, a giggle is in the middle, and a laugh is the biggest!",2,,,
K.L.6,1,"📖 You read a book about the ocean. Now someone asks: ""What lives in the ocean?""",The BEST answer is...,Cars and trucks,"Fish, whales, and dolphins",Dogs and cats,Trees and flowers,"Fish, whales, and dolphins",Think about what you learned from the ocean book!,1,,,
K.L.6,2,"🗣️ Your teacher says: ""Line up in a row.""","What does ""in a row"" mean?",In a circle,One behind the other in a line,Sitting down,Running around,One behind the other in a line,"When things are 'in a row,' they make a straight line!",1,,,
K.L.6,3,📚 You read a book about bears that said bears HIBERNATE in winter.,What does hibernate mean?,Run really fast,Sleep for a long time,Eat a lot of food,Swim in the river,Sleep for a long time,Bears go to sleep for the whole winter — that's hibernating!,2,,,
K.L.6,4,"🗣️ Your friend says: ""That puzzle is really TRICKY.""",What does TRICKY mean?,Easy,Hard to figure out,Boring,Silly,Hard to figure out,"If something is tricky, you really have to think to solve it!",1,,,
K.L.6,5,,"📖 After reading about seasons, which word BEST describes what happens to leaves in fall?",They grow bigger.,They change color and fall down.,They stay the same.,They turn into flowers.,They change color and fall down.,Think about what you know about fall — what happens to the trees?,2,,,
