id,level,severity,reason,old_hint,new_hint
RL.1.3-Q2,1st Grade,warn,"The hint summarizes the actions that directly define the correct answer, making it very easy for the child to deduce the answer without further thought.",Think about what Ben does — helping and sharing.,
RL.1.4-Q1,1st Grade,warn,"The hint rephrases the question in a way that strongly points to the descriptive adjective 'Bright' as the answer, making it very easy for the child to identify.",Which word helps you imagine what the sun looks and feels like?,
RL.1.4-Q2,1st Grade,warn,The hint heavily guides the child to the correct emotion by asking a leading question that presents a dichotomy where one option is clearly incorrect for the given verb.,What does 'whimpered' sound like? Happy or sad?,
RL.1.4-Q3,1st Grade,warn,"The hint points very specifically to the type of words that are the correct answer, making it a very strong hint without explicitly stating the answer.",Which words describe how the cookies smell?,
RL.1.4-Q4,1st Grade,warn,"The hint asks a rhetorical question about the meaning of the actions, making the correct emotion very obvious without explicitly stating it.","When people stomp and cross their arms, how do they usually feel?",
RL.1.5-Q1,1st Grade,fail,"The hint defines what a story is and directly applies it to the prompt, essentially giving the conceptual answer without requiring re-reading.","Can rabbits really talk? If it's made up, it's a story.",Think about what kind of book has a 'talking rabbit' and an 'adventure'.
RL.1.5-Q2,1st Grade,warn,"The hint heavily implies the correct answer by asking the child to distinguish between 'real facts' and 'made-up story,' which directly defines an informational book.",Does this book teach real facts or tell a made-up story?,
RL.1.5-Q3,1st Grade,fail,"The hint paraphrases the correct answer by stating that stories come from imagination, which directly implies they have made-up characters and events.",Stories come from someone's imagination.,Think about your favorite storybook and what happens in it.
RL.1.5-Q4,1st Grade,fail,"The hint directly defines 'informational' using language that is nearly identical to the correct answer choice, effectively stating the answer.",Informational means it gives you real information.,Think about the word 'informational' when you read these books.
RL.1.5-Q5,1st Grade,warn,"The hint explains why 'Once upon a time' is a clue, heavily implying the correct answer by eliminating the alternative.",'Once upon a time' is a clue! Real fact books don't start this way.,
RL.1.6-Q1,1st Grade,fail,"The hint directly points to the word 'I' and asks who it is, and the correct answer choice explicitly includes '(I)', making it too easy to match without comprehension.",Look at the word 'I' — who is the 'I' in the story?,Re-read the first word of the story.
RL.1.6-Q2,1st Grade,warn,"The hint explains the concept of third-person narration, which is the correct answer, rather than guiding the child to re-read and infer it themselves.",The story says 'He' not 'I' — someone else is telling us about Sam.,
RL.1.6-Q4,1st Grade,fail,"The hint explains the concept that is the correct answer, rather than guiding the child to re-evaluate the question or choices.","When you see 'I' and 'my,' a character is talking about themselves.",Think about who uses the words 'I' and 'my' when telling a story.
RL.1.6-Q5,1st Grade,warn,"The hint points directly to the verb associated with the correct speaker, making it very easy for the child to find the answer without much comprehension.",Look at who 'called' those words.,
RL.1.7-Q1,1st Grade,warn,"The hint strongly implies the correct answer by asking what smiles and trophies usually mean, which directly points to 'proud and happy.'",What do smiles and trophies usually mean?,
RL.1.7-Q2,1st Grade,warn,"The hint directly points out the specific elements (snow and coats) that are the unambiguous clues to the correct answer, making it very easy for a child to infer the answer without further thought.",Snow and coats are clues about the season.,
RL.1.7-Q4,1st Grade,warn,"The hint provides a very strong paraphrase of the correct answer's core idea, making it easy for the child to infer the correct choice.",Pictures give us extra information the words might not say.,
RL.1.7-Q5,1st Grade,warn,"The hint points directly to the visual evidence (tears and broken toy) and asks for the feeling, making the correct answer very obvious without explicitly stating it.",Tears and a broken toy — what feeling does that show?,
RL.1.9-Q2,1st Grade,warn,"The hint asks for the specific trait shared by both characters, which is the direct answer to the question, making it very easy for the child to identify the correct choice without deeper comprehension.",What trait do both characters share?,
RL.1.9-Q3,1st Grade,warn,"The hint asks a question whose direct answer is the correct choice, making it very easy for the child to find the answer without much critical thinking.",Where does each animal spend the day?,
RL.1.9-Q4,1st Grade,fail,"The hint directly defines the term 'compare' using a synonym ('similar') for the correct answer choice ('The same'), effectively stating the answer.",Compare means to find what's similar.,Look closely at the word COMPARE in the question.
RL.1.9-Q5,1st Grade,fail,"The hint directly defines 'contrast' using a phrase that is a direct paraphrase of the correct answer, allowing the child to copy the meaning.",Contrast means to find what's not the same.,Look closely at the word 'CONTRAST' in the question.
RI.1.1-Q5,1st Grade,warn,"The hint points very directly to the exact word in the passage that is the answer, making it easy for a child to simply copy it.","Look at the order: eggs, then what?",
RI.1.2-Q2,1st Grade,warn,"The hint guides the child to identify the common subject of all sentences, which directly leads to the correct main topic without explicitly stating it.",What is every sentence about?,
RI.1.3-Q2,1st Grade,warn,"The hint asks a direct question whose answer is the correct choice, hinting heavily without stating it outright.",What does the farmer do that helps the seeds?,
RI.1.3-Q3,1st Grade,warn,"The hint strongly points to the consequence of eating, which is the direct reason for eating, making it easy to infer the correct answer.",What happens AFTER they eat a lot?,
RI.1.3-Q4,1st Grade,fail,"The hint points directly to the second sentence, which explicitly states the correct answer, effectively paraphrasing it.",The second sentence tells what he did before.,Re-read the second sentence to find what he did before.
RI.1.4-Q1,1st Grade,warn,"The hint points directly to the definition provided in the sentence, which is the correct answer, making it very easy for the child to find without much comprehension.",The sentence tells you the meaning right after the word.,
RI.1.4-Q2,1st Grade,warn,"The hint points directly to a synonym ('biggest') that strongly implies the correct answer ('very big'), making it a heavy hint.",The sentence says 'biggest' — that's a clue.,
RI.1.4-Q3,1st Grade,warn,"The hint points directly to the phrase in the passage that defines 'nocturnal' as 'awake at night', which is synonymous with the correct answer 'Active at night', making it very easy for the child to find the answer.",The sentence explains when nocturnal animals are awake.,
RI.1.4-Q4,1st Grade,warn,"The hint points directly to the sentence that contains the exact correct answer, making it very easy to copy.",The first sentence defines the word for you.,
RI.1.4-Q5,1st Grade,warn,"The hint points directly to the word 'fastest,' which is a very strong and obvious clue for the meaning of 'sprinted,' making it easy for the child to infer the correct answer without much effort.",The next sentence says 'fastest' — that's your clue.,
RI.1.5-Q1,1st Grade,fail,"The hint directly describes the function of the correct answer, effectively stating the answer without explicitly naming it as 'the answer'.",The table of contents lists chapters and their page numbers.,Think about which part of a book helps you find chapters.
RI.1.5-Q2,1st Grade,fail,"The hint defines a heading as a 'title for each section,' which directly paraphrases the correct answer that a heading tells 'what that section is about.'",Headings are like titles for each section.,Look at the big words you see before a new story part begins.
RI.1.5-Q3,1st Grade,warn,"The hint heavily implies the correct answer by comparing a glossary to a mini dictionary, making the function of learning word meanings very obvious.",A glossary is like a mini dictionary at the back.,
RI.1.5-Q4,1st Grade,fail,"The hint directly states the correct answer by explaining the purpose of bold words, which is the same information as the correct choice.",Authors make words bold to show they are important.,Think about why some words in a book look dark and thick.
RI.1.5-Q5,1st Grade,warn,The hint points heavily to the correct answer by describing its function and category ('text features') without explicitly naming it.,Use text features to find topics quickly without reading everything.,
RI.1.6-Q2,1st Grade,warn,"The hint strongly guides the child to the correct answer by focusing on visual aspects that are hard to describe, which is the essence of 'exact colors and shapes'.",Pictures let you SEE things — what can you see that's hard to describe?,
RI.1.6-Q4,1st Grade,warn,"The hint explains the function of a diagram using terms (pictures, labels, teach about parts) that directly correspond to the correct answer's components (see, name the parts).",Diagrams use pictures AND labels to teach you about parts.,
RI.1.6-Q5,1st Grade,fail,"The hint paraphrases the correct answer by explaining that the picture shows 'what old looks like,' which is the same as 'how the house looks old.'",The picture shows details about what 'old' looks like.,Look closely at the details in the picture of the house.
RI.1.7-Q1,1st Grade,warn,"The hint highlights the exact visual clues that define the correct answer, making it very easy for the child to deduce the answer without further thought.",Snow and bare trees are clues about which season.,
RI.1.7-Q2,1st Grade,warn,"The hint uses 'healthy eating' which is a very close paraphrase of 'balanced meal', hinting heavily at the correct answer without explicitly stating it.",The picture shows you an example of healthy eating.,
RI.1.7-Q3,1st Grade,fail,"The hint defines the function of a map, which directly states the concept of the correct answer without requiring the child to re-read the passage.",Maps show locations — where things are.,Look at what the map in the book shows you about the lions.
RI.1.7-Q4,1st Grade,fail,"The hint directly states that arrows show 'order', which is the key concept of the correct answer, 'The order of the water cycle'.","Arrows show direction and order — what happens first, next, last.",Re-read how the arrows show water moving from the ocean to rain.
RI.1.7-Q5,1st Grade,fail,"The hint directly states the purpose of pictures in informational books, which is a paraphrase of the correct answer.",Pictures in informational books have a purpose — they teach!,What do pictures add to a book that teaches you facts?
RI.1.8-Q2,1st Grade,warn,"The hint points directly to the sentence that contains the entire correct answer, making it very easy for the child to find without much comprehension.",The author lists reasons after saying dogs are great pets.,
RI.1.8-Q5,1st Grade,warn,"The hint asks for the exact information that constitutes the correct answer, making it very easy for the child to find the answer in the passage.",What GOOD things does the author say happen when you read?,
RI.1.9-Q1,1st Grade,warn,"The hint directly asks the child to consider the similarity between 'walks' and 'exercise,' which is the core concept of the correct answer without explicitly stating it.",Walks and exercise — are those similar?,
RI.1.9-Q2,1st Grade,fail,"The hint directly states the correct answer, 'so it must be important.'",Both books tell us something the sun does — so it must be important.,Think about what both books tell us the sun *does* or *is*.
RI.1.9-Q3,1st Grade,fail,"The hint paraphrases the correct answer by explaining the distinction between a pet and a wild animal, which is the core of the correct choice.","One animal lives with people, the other doesn't.",Look at how Book 1 and Book 2 are described in the first sentence.
RI.1.9-Q4,1st Grade,warn,"The hint asks a direct question whose answer is the core information of the correct choice, making it very easy for the child to identify the correct answer without further re-reading.",What topic do they share?,
RI.1.9-Q5,1st Grade,fail,"The hint directly paraphrases the correct answer by defining 'comparing' as finding what's 'alike and different,' which is nearly identical to 'what facts are the same and what facts are different.'",Comparing means finding what's alike and different.,Look closely at the word 'comparing' in the question.
RF.1.1a-Q1,1st Grade,warn,The hint points directly to an obvious example within the prompt itself that reveals the correct answer without requiring further thought or re-reading.,Look at the first letter of this question!,
RF.1.1a-Q2,1st Grade,warn,"The hint rephrases the question directly, making it very easy for the child to recall the specific grammatical rule without further guidance.",What mark goes at the very end?,
RF.1.1a-Q4,1st Grade,warn,"The hint provides the exact grammatical rule that makes the correct answer obvious, rather than guiding the child to re-examine the sentence independently.",Every sentence begins with a capital letter.,
RF.1.2b-Q3,1st Grade,warn,"The hint breaks the word into two blendable chunks that, when combined, directly form the correct answer, making it very easy to deduce.","/s/ /t/ blend together, then /o/ /p/.",
RF.1.2b-Q5,1st Grade,warn,"The hint breaks down the blending into two specific parts that directly form the correct answer, making it very easy to deduce.","/g/ /r/ together, then /a/ /b/.",
RF.1.2c-Q4,1st Grade,warn,"The hint directly pairs the target word with the correct answer, making it very easy for the child to identify the correct choice without independent reasoning.",Say 'top' and 'ten' — do they start the same?,
RF.1.2c-Q5,1st Grade,warn,"The hint explicitly states the middle sound of 'cat' (/a/), which is the key information needed to find the correct answer, making the task much easier for the child.",Cat has /a/ in the middle. Which other word has /a/?,
RF.1.2d-Q1,1st Grade,fail,"The hint explicitly breaks down the word into its individual sounds, making the correct answer obvious by simply counting what is provided.",C-A-T: /k/ /a/ /t/ — count each sound.,Say the word 'cat' slowly and listen for each sound.
RF.1.2d-Q2,1st Grade,fail,The hint directly states the correct answer by breaking down the word into sounds and explicitly stating there are 3 sounds.,'Sh' makes ONE sound: /sh/ /i/ /p/ = 3 sounds.,Listen closely to the first two letters of 'ship'.
RF.1.2d-Q4,1st Grade,fail,"The hint explicitly lists all the sounds in the word, directly giving away the correct answer of '4' sounds.",/s/ /t/ /o/ /p/ — each letter makes its own sound here.,Try saying the word 'stop' out loud very slowly.
RF.1.2d-Q5,1st Grade,fail,"The hint explicitly states the correct answer, including the sounds and their count.","'Th' makes ONE sound together, so: /th/ /e/ /m/ = 3 sounds.",Listen carefully to the sounds you make when you say the word 'them'.
RF.1.4b-Q1,1st Grade,fail,"The hint directly states the meaning of exclamation points, which is the correct answer.",Exclamation points mean strong feelings!,Remember what an exclamation point (!) is used for.
RF.1.4b-Q2,1st Grade,fail,"The hint directly demonstrates and states the correct answer ('goes up') which matches one of the choices, making it too easy for the child to infer the answer.",Try asking 'Really?' — hear how your voice goes up?,Read the question in the prompt out loud and listen to your voice.
RF.1.4b-Q3,1st Grade,fail,"The hint paraphrases the correct answer, telling the child to read like they are telling a story, which is the same as reading at a pace that sounds like talking.",Read like you're telling someone a story.,Re-read the first sentence about 'the right speed'.
RF.1.4b-Q4,1st Grade,fail,"The hint directly states a key part of the correct answer ('scared'), allowing the child to copy it into the choice.",The mouse is crying for help — that sounds scared!,Look at how the little mouse 'cried' for 'Help!'
RF.1.4b-Q5,1st Grade,fail,The hint paraphrases the correct answer by defining 'expression' in a way that directly matches the correct choice.,Expression means making your voice match what's happening.,Think about how your teacher reads a story aloud.
RF.1.4c-Q1,1st Grade,warn,The hint strongly implies the correct answer by asking a common knowledge question that has a very obvious answer among the choices.,Where do birds usually fly over?,
RF.1.4c-Q2,1st Grade,fail,"The hint directly states the correct action a good reader should take, which is the correct answer to the question.",Good readers go back and fix mistakes so the sentence makes sense.,Re-read the part where you said 'map' instead of 'mat'.
RF.1.4c-Q3,1st Grade,warn,The hint heavily implies the correct answer by asking a question whose obvious answer is the correct choice among the options.,What do people drink?,
RF.1.4c-Q4,1st Grade,fail,"The hint paraphrases the correct answer by telling the child to 'try again', which is the core action of rereading and fixing a mistake.",Good readers check: 'Does that make sense?' and try again.,Re-read the question and think about what a good reader would do.
